away,awayScore,date,gamePk,gameType,home,homeScore,season
San Jose Sharks,0,2019-03-12,2018021077,R,Winnipeg Jets,0,20182019
New Jersey Devils,0,2019-03-12,2018021078,R,Calgary Flames,0,20182019
Nashville Predators,0,2019-03-12,2018021079,R,Anaheim Ducks,0,20182019
Chicago Blackhawks,0,2019-03-13,2018021080,R,Toronto Maple Leafs,0,20182019
New Jersey Devils,0,2019-03-13,2018021081,R,Edmonton Oilers,0,20182019
New York Rangers,0,2019-03-13,2018021082,R,Vancouver Canucks,0,20182019
Pittsburgh Penguins,0,2019-03-14,2018021083,R,Buffalo Sabres,0,20182019
Montréal Canadiens,0,2019-03-14,2018021084,R,New York Islanders,0,20182019
Washington Capitals,0,2019-03-14,2018021085,R,Philadelphia Flyers,0,20182019
St. Louis Blues,0,2019-03-14,2018021086,R,Ottawa Senators,0,20182019
Tampa Bay Lightning,0,2019-03-14,2018021087,R,Detroit Red Wings,0,20182019
Dallas Stars,0,2019-03-14,2018021088,R,Minnesota Wild,0,20182019
Boston Bruins,0,2019-03-14,2018021089,R,Winnipeg Jets,0,20182019
Anaheim Ducks,0,2019-03-14,2018021090,R,Arizona Coyotes,0,20182019
Nashville Predators,0,2019-03-14,2018021091,R,Los Angeles Kings,0,20182019
Florida Panthers,0,2019-03-14,2018021092,R,San Jose Sharks,0,20182019
Philadelphia Flyers,0,2019-03-15,2018021093,R,Toronto Maple Leafs,0,20182019
Carolina Hurricanes,0,2019-03-15,2018021094,R,Columbus Blue Jackets,0,20182019
Vegas Golden Knights,0,2019-03-15,2018021095,R,Dallas Stars,0,20182019
Anaheim Ducks,0,2019-03-15,2018021096,R,Colorado Avalanche,0,20182019
New York Rangers,0,2019-03-15,2018021097,R,Calgary Flames,0,20182019
New Jersey Devils,0,2019-03-15,2018021098,R,Vancouver Canucks,0,20182019
St. Louis Blues,0,2019-03-16,2018021099,R,Pittsburgh Penguins,0,20182019
New York Islanders,0,2019-03-16,2018021100,R,Detroit Red Wings,0,20182019
Florida Panthers,0,2019-03-16,2018021101,R,Los Angeles Kings,0,20182019
Columbus Blue Jackets,0,2019-03-16,2018021102,R,Boston Bruins,0,20182019
Chicago Blackhawks,0,2019-03-16,2018021103,R,Montréal Canadiens,0,20182019
Toronto Maple Leafs,0,2019-03-16,2018021104,R,Ottawa Senators,0,20182019
Washington Capitals,0,2019-03-16,2018021105,R,Tampa Bay Lightning,0,20182019
Buffalo Sabres,0,2019-03-16,2018021106,R,Carolina Hurricanes,0,20182019
Calgary Flames,0,2019-03-16,2018021107,R,Winnipeg Jets,0,20182019
New York Rangers,0,2019-03-16,2018021108,R,Minnesota Wild,0,20182019
Edmonton Oilers,0,2019-03-16,2018021109,R,Arizona Coyotes,0,20182019
Nashville Predators,0,2019-03-16,2018021110,R,San Jose Sharks,0,20182019
New Jersey Devils,0,2019-03-17,2018021111,R,Colorado Avalanche,0,20182019
St. Louis Blues,0,2019-03-17,2018021112,R,Buffalo Sabres,0,20182019
New York Islanders,0,2019-03-17,2018021113,R,Minnesota Wild,0,20182019
Vancouver Canucks,0,2019-03-17,2018021114,R,Dallas Stars,0,20182019
Philadelphia Flyers,0,2019-03-17,2018021115,R,Pittsburgh Penguins,0,20182019
Florida Panthers,0,2019-03-17,2018021116,R,Anaheim Ducks,0,20182019
Edmonton Oilers,0,2019-03-17,2018021117,R,Vegas Golden Knights,0,20182019
Arizona Coyotes,0,2019-03-18,2018021118,R,Tampa Bay Lightning,0,20182019
Vancouver Canucks,0,2019-03-18,2018021119,R,Chicago Blackhawks,0,20182019
Winnipeg Jets,0,2019-03-18,2018021120,R,Los Angeles Kings,0,20182019
Vegas Golden Knights,0,2019-03-18,2018021121,R,San Jose Sharks,0,20182019
Boston Bruins,0,2019-03-19,2018021123,R,New York Islanders,0,20182019
Detroit Red Wings,0,2019-03-19,2018021124,R,New York Rangers,0,20182019
Montréal Canadiens,0,2019-03-19,2018021125,R,Philadelphia Flyers,0,20182019
Pittsburgh Penguins,0,2019-03-19,2018021126,R,Carolina Hurricanes,0,20182019
Washington Capitals,0,2019-03-19,2018021122,R,New Jersey Devils,0,20182019
Edmonton Oilers,0,2019-03-19,2018021127,R,St. Louis Blues,0,20182019
Toronto Maple Leafs,0,2019-03-19,2018021128,R,Nashville Predators,0,20182019
Colorado Avalanche,0,2019-03-19,2018021129,R,Minnesota Wild,0,20182019
Florida Panthers,0,2019-03-19,2018021130,R,Dallas Stars,0,20182019
Columbus Blue Jackets,0,2019-03-19,2018021131,R,Calgary Flames,0,20182019
Toronto Maple Leafs,0,2019-03-20,2018021132,R,Buffalo Sabres,0,20182019
Tampa Bay Lightning,0,2019-03-20,2018021133,R,Washington Capitals,0,20182019
Ottawa Senators,0,2019-03-20,2018021134,R,Vancouver Canucks,0,20182019
Winnipeg Jets,0,2019-03-20,2018021135,R,Anaheim Ducks,0,20182019
Arizona Coyotes,0,2019-03-21,2018021136,R,Florida Panthers,0,20182019
Boston Bruins,0,2019-03-21,2018021137,R,New Jersey Devils,0,20182019
Tampa Bay Lightning,0,2019-03-21,2018021138,R,Carolina Hurricanes,0,20182019
New York Islanders,0,2019-03-21,2018021139,R,Montréal Canadiens,0,20182019
Detroit Red Wings,0,2019-03-21,2018021140,R,St. Louis Blues,0,20182019
Pittsburgh Penguins,0,2019-03-21,2018021141,R,Nashville Predators,0,20182019
Philadelphia Flyers,0,2019-03-21,2018021142,R,Chicago Blackhawks,0,20182019
Colorado Avalanche,0,2019-03-21,2018021143,R,Dallas Stars,0,20182019
Ottawa Senators,0,2019-03-21,2018021144,R,Calgary Flames,0,20182019
Columbus Blue Jackets,0,2019-03-21,2018021145,R,Edmonton Oilers,0,20182019
Winnipeg Jets,0,2019-03-21,2018021146,R,Vegas Golden Knights,0,20182019
San Jose Sharks,0,2019-03-21,2018021147,R,Los Angeles Kings,0,20182019
Minnesota Wild,0,2019-03-22,2018021148,R,Washington Capitals,0,20182019
San Jose Sharks,0,2019-03-22,2018021149,R,Anaheim Ducks,0,20182019
Arizona Coyotes,0,2019-03-23,2018021150,R,New Jersey Devils,0,20182019
New York Islanders,0,2019-03-23,2018021151,R,Philadelphia Flyers,0,20182019
Chicago Blackhawks,0,2019-03-23,2018021152,R,Colorado Avalanche,0,20182019
Ottawa Senators,0,2019-03-23,2018021153,R,Edmonton Oilers,0,20182019
New York Rangers,0,2019-03-23,2018021154,R,Toronto Maple Leafs,0,20182019
Buffalo Sabres,0,2019-03-23,2018021155,R,Montréal Canadiens,0,20182019
Boston Bruins,0,2019-03-23,2018021156,R,Florida Panthers,0,20182019
Minnesota Wild,0,2019-03-23,2018021157,R,Carolina Hurricanes,0,20182019
Nashville Predators,0,2019-03-23,2018021158,R,Winnipeg Jets,0,20182019
Tampa Bay Lightning,0,2019-03-23,2018021159,R,St. Louis Blues,0,20182019
Pittsburgh Penguins,0,2019-03-23,2018021160,R,Dallas Stars,0,20182019
Calgary Flames,0,2019-03-23,2018021161,R,Vancouver Canucks,0,20182019
Detroit Red Wings,0,2019-03-23,2018021162,R,Vegas Golden Knights,0,20182019
Anaheim Ducks,0,2019-03-23,2018021163,R,Los Angeles Kings,0,20182019
Philadelphia Flyers,0,2019-03-24,2018021164,R,Washington Capitals,0,20182019
Arizona Coyotes,0,2019-03-24,2018021165,R,New York Islanders,0,20182019
Montréal Canadiens,0,2019-03-24,2018021166,R,Carolina Hurricanes,0,20182019
Colorado Avalanche,0,2019-03-24,2018021167,R,Chicago Blackhawks,0,20182019
Columbus Blue Jackets,0,2019-03-24,2018021168,R,Vancouver Canucks,0,20182019
Florida Panthers,0,2019-03-25,2018021169,R,Toronto Maple Leafs,0,20182019
Buffalo Sabres,0,2019-03-25,2018021170,R,New Jersey Devils,0,20182019
Pittsburgh Penguins,0,2019-03-25,2018021171,R,New York Rangers,0,20182019
Boston Bruins,0,2019-03-25,2018021172,R,Tampa Bay Lightning,0,20182019
Vegas Golden Knights,0,2019-03-25,2018021173,R,St. Louis Blues,0,20182019
Nashville Predators,0,2019-03-25,2018021174,R,Minnesota Wild,0,20182019
Dallas Stars,0,2019-03-25,2018021175,R,Winnipeg Jets,0,20182019
Los Angeles Kings,0,2019-03-25,2018021176,R,Calgary Flames,0,20182019
Detroit Red Wings,0,2019-03-25,2018021177,R,San Jose Sharks,0,20182019
Carolina Hurricanes,0,2019-03-26,2018021178,R,Washington Capitals,0,20182019
New York Islanders,0,2019-03-26,2018021179,R,Columbus Blue Jackets,0,20182019
Florida Panthers,0,2019-03-26,2018021180,R,Montréal Canadiens,0,20182019
Buffalo Sabres,0,2019-03-26,2018021181,R,Ottawa Senators,0,20182019
Los Angeles Kings,0,2019-03-26,2018021182,R,Edmonton Oilers,0,20182019
Anaheim Ducks,0,2019-03-26,2018021183,R,Vancouver Canucks,0,20182019
Chicago Blackhawks,0,2019-03-26,2018021184,R,Arizona Coyotes,0,20182019
Toronto Maple Leafs,0,2019-03-27,2018021185,R,Philadelphia Flyers,0,20182019
New York Rangers,0,2019-03-27,2018021186,R,Boston Bruins,0,20182019
Dallas Stars,0,2019-03-27,2018021187,R,Calgary Flames,0,20182019
Vegas Golden Knights,0,2019-03-27,2018021188,R,Colorado Avalanche,0,20182019
Detroit Red Wings,0,2019-03-28,2018021189,R,Buffalo Sabres,0,20182019
Washington Capitals,0,2019-03-28,2018021190,R,Carolina Hurricanes,0,20182019
Montréal Canadiens,0,2019-03-28,2018021191,R,Columbus Blue Jackets,0,20182019
Florida Panthers,0,2019-03-28,2018021192,R,Ottawa Senators,0,20182019
New York Islanders,0,2019-03-28,2018021193,R,Winnipeg Jets,0,20182019
Dallas Stars,0,2019-03-28,2018021194,R,Edmonton Oilers,0,20182019
Los Angeles Kings,0,2019-03-28,2018021195,R,Vancouver Canucks,0,20182019
Chicago Blackhawks,0,2019-03-28,2018021196,R,San Jose Sharks,0,20182019
St. Louis Blues,0,2019-03-29,2018021197,R,New York Rangers,0,20182019
Nashville Predators,0,2019-03-29,2018021198,R,Pittsburgh Penguins,0,20182019
New Jersey Devils,0,2019-03-29,2018021199,R,Detroit Red Wings,0,20182019
Arizona Coyotes,0,2019-03-29,2018021200,R,Colorado Avalanche,0,20182019
Anaheim Ducks,0,2019-03-29,2018021201,R,Calgary Flames,0,20182019
Minnesota Wild,0,2019-03-29,2018021202,R,Vegas Golden Knights,0,20182019
Florida Panthers,0,2019-03-30,2018021204,R,Boston Bruins,0,20182019
Philadelphia Flyers,0,2019-03-30,2018021203,R,Carolina Hurricanes,0,20182019
Toronto Maple Leafs,0,2019-03-30,2018021205,R,Ottawa Senators,0,20182019
Washington Capitals,0,2019-03-30,2018021206,R,Tampa Bay Lightning,0,20182019
St. Louis Blues,0,2019-03-30,2018021207,R,New Jersey Devils,0,20182019
Buffalo Sabres,0,2019-03-30,2018021208,R,New York Islanders,0,20182019
Montréal Canadiens,0,2019-03-30,2018021209,R,Winnipeg Jets,0,20182019
Columbus Blue Jackets,0,2019-03-30,2018021210,R,Nashville Predators,0,20182019
Vegas Golden Knights,0,2019-03-30,2018021211,R,San Jose Sharks,0,20182019
Anaheim Ducks,0,2019-03-30,2018021212,R,Edmonton Oilers,0,20182019
Dallas Stars,0,2019-03-30,2018021213,R,Vancouver Canucks,0,20182019
Chicago Blackhawks,0,2019-03-30,2018021214,R,Los Angeles Kings,0,20182019
New York Rangers,0,2019-03-31,2018021215,R,Philadelphia Flyers,0,20182019
Carolina Hurricanes,0,2019-03-31,2018021216,R,Pittsburgh Penguins,0,20182019
Minnesota Wild,0,2019-03-31,2018021217,R,Arizona Coyotes,0,20182019
Columbus Blue Jackets,0,2019-03-31,2018021218,R,Buffalo Sabres,0,20182019
Boston Bruins,0,2019-03-31,2018021219,R,Detroit Red Wings,0,20182019
Calgary Flames,0,2019-03-31,2018021220,R,San Jose Sharks,0,20182019
Washington Capitals,0,2019-04-01,2018021221,R,Florida Panthers,0,20182019
New York Rangers,0,2019-04-01,2018021222,R,New Jersey Devils,0,20182019
Toronto Maple Leafs,0,2019-04-01,2018021223,R,New York Islanders,0,20182019
Tampa Bay Lightning,0,2019-04-01,2018021224,R,Ottawa Senators,0,20182019
Colorado Avalanche,0,2019-04-01,2018021225,R,St. Louis Blues,0,20182019
Winnipeg Jets,0,2019-04-01,2018021226,R,Chicago Blackhawks,0,20182019
Edmonton Oilers,0,2019-04-01,2018021227,R,Vegas Golden Knights,0,20182019
Calgary Flames,0,2019-04-01,2018021228,R,Los Angeles Kings,0,20182019
Nashville Predators,0,2019-04-02,2018021229,R,Buffalo Sabres,0,20182019
Boston Bruins,0,2019-04-02,2018021230,R,Columbus Blue Jackets,0,20182019
Carolina Hurricanes,0,2019-04-02,2018021231,R,Toronto Maple Leafs,0,20182019
Tampa Bay Lightning,0,2019-04-02,2018021232,R,Montréal Canadiens,0,20182019
Pittsburgh Penguins,0,2019-04-02,2018021233,R,Detroit Red Wings,0,20182019
Winnipeg Jets,0,2019-04-02,2018021234,R,Minnesota Wild,0,20182019
Philadelphia Flyers,0,2019-04-02,2018021235,R,Dallas Stars,0,20182019
Edmonton Oilers,0,2019-04-02,2018021236,R,Colorado Avalanche,0,20182019
San Jose Sharks,0,2019-04-02,2018021237,R,Vancouver Canucks,0,20182019
Los Angeles Kings,0,2019-04-02,2018021238,R,Arizona Coyotes,0,20182019
Ottawa Senators,0,2019-04-03,2018021239,R,New York Rangers,0,20182019
St. Louis Blues,0,2019-04-03,2018021240,R,Chicago Blackhawks,0,20182019
Calgary Flames,0,2019-04-03,2018021241,R,Anaheim Ducks,0,20182019
Ottawa Senators,0,2019-04-04,2018021242,R,Buffalo Sabres,0,20182019
Tampa Bay Lightning,0,2019-04-04,2018021243,R,Toronto Maple Leafs,0,20182019
New York Islanders,0,2019-04-04,2018021244,R,Florida Panthers,0,20182019
Detroit Red Wings,0,2019-04-04,2018021245,R,Pittsburgh Penguins,0,20182019
Montréal Canadiens,0,2019-04-04,2018021246,R,Washington Capitals,0,20182019
New Jersey Devils,0,2019-04-04,2018021247,R,Carolina Hurricanes,0,20182019
Philadelphia Flyers,0,2019-04-04,2018021248,R,St. Louis Blues,0,20182019
Vancouver Canucks,0,2019-04-04,2018021249,R,Nashville Predators,0,20182019
Boston Bruins,0,2019-04-04,2018021250,R,Minnesota Wild,0,20182019
Winnipeg Jets,0,2019-04-04,2018021251,R,Colorado Avalanche,0,20182019
San Jose Sharks,0,2019-04-04,2018021252,R,Edmonton Oilers,0,20182019
Arizona Coyotes,0,2019-04-04,2018021253,R,Vegas Golden Knights,0,20182019
Columbus Blue Jackets,0,2019-04-05,2018021254,R,New York Rangers,0,20182019
Dallas Stars,0,2019-04-05,2018021255,R,Chicago Blackhawks,0,20182019
Los Angeles Kings,0,2019-04-05,2018021256,R,Anaheim Ducks,0,20182019
Tampa Bay Lightning,0,2019-04-06,2018021257,R,Boston Bruins,0,20182019
Vancouver Canucks,0,2019-04-06,2018021258,R,St. Louis Blues,0,20182019
Toronto Maple Leafs,0,2019-04-06,2018021259,R,Montréal Canadiens,0,20182019
Columbus Blue Jackets,0,2019-04-06,2018021260,R,Ottawa Senators,0,20182019
Buffalo Sabres,0,2019-04-06,2018021261,R,Detroit Red Wings,0,20182019
New Jersey Devils,0,2019-04-06,2018021262,R,Florida Panthers,0,20182019
Carolina Hurricanes,0,2019-04-06,2018021263,R,Philadelphia Flyers,0,20182019
New York Rangers,0,2019-04-06,2018021264,R,Pittsburgh Penguins,0,20182019
New York Islanders,0,2019-04-06,2018021265,R,Washington Capitals,0,20182019
Chicago Blackhawks,0,2019-04-06,2018021266,R,Nashville Predators,0,20182019
Minnesota Wild,0,2019-04-06,2018021267,R,Dallas Stars,0,20182019
Edmonton Oilers,0,2019-04-06,2018021268,R,Calgary Flames,0,20182019
Winnipeg Jets,0,2019-04-06,2018021269,R,Arizona Coyotes,0,20182019
Vegas Golden Knights,0,2019-04-06,2018021270,R,Los Angeles Kings,0,20182019
Colorado Avalanche,0,2019-04-06,2018021271,R,San Jose Sharks,0,20182019
